  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0043                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000  -0.0275   0.01987   0.01231   0.0222   0.4259   0.4534
   3.000  -0.0297   0.02080   0.01324   0.0571   0.4000   0.4847
   4.000   0.0146   0.02163   0.01415   0.0652   0.3869   0.5031
   5.000   0.0731   0.02277   0.01536   0.0702   0.3742   0.5228
   6.000   0.1372   0.02421   0.01681   0.0737   0.3617   0.5439
   7.000   0.1989   0.02611   0.01875   0.0766   0.3493   0.5663
   8.000   0.2595   0.02844   0.02129   0.0788   0.3378   0.5923
   9.000   0.3238   0.03097   0.02392   0.0800   0.3266   0.6201
  10.000   0.3895   0.03370   0.02674   0.0805   0.3154   0.6500
  11.000   0.4389   0.03783   0.03113   0.0815   0.3049   0.6819
  12.000   0.4966   0.04162   0.03510   0.0814   0.2947   0.7177
  13.000   0.5604   0.04509   0.03871   0.0809   0.2846   0.7586
  14.000   0.5901   0.05144   0.04543   0.0814   0.2749   0.8009
  15.000   0.6293   0.05720   0.05144   0.0813   0.2653   0.8442
  16.000   0.6778   0.06210   0.05652   0.0813   0.2566   0.8894
  17.000   0.6950   0.06968   0.06432   0.0823   0.2473   0.9294
  18.000   0.7080   0.07818   0.07300   0.0827   0.2378   0.9608
  19.000   0.7562   0.08741   0.08230   0.0755   0.2287   0.9763
  20.000   0.8499   0.09307   0.08784   0.0661   0.2212   0.9861
  21.000   0.8759   0.10632   0.10128   0.0553   0.2114   0.9901
  22.000   0.9007   0.11949   0.11461   0.0446   0.2016   0.9955
