  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2853   0.13105   0.12631  -0.0342   1.0000   0.0773
  -9.000  -0.3219   0.12690   0.12244  -0.0290   1.0000   0.0837
  -8.000  -0.3351   0.11778   0.11354  -0.0268   0.9969   0.0871
  -7.000  -0.2895   0.10431   0.10008  -0.0533   0.9636   0.0987
  -6.000  -0.2071   0.08764   0.08332  -0.0683   0.9334   0.1145
  -5.000  -0.1156   0.07322   0.06875  -0.0834   0.9019   0.1369
  -4.000   0.0108   0.05783   0.05283  -0.1084   0.8703   0.1791
  -3.000   0.2146   0.03271   0.02498  -0.1388   0.8517   0.1177
  -2.000   0.3641   0.02728   0.01848  -0.1452   0.8249   0.1566
  -1.000   0.5153   0.02351   0.01452  -0.1504   0.8019   0.2436
   0.000   0.6378   0.02070   0.01261  -0.1511   0.7704   0.4767
   1.000   0.7540   0.01956   0.01173  -0.1496   0.7379   1.0000
   2.000   0.8660   0.02032   0.01199  -0.1492   0.7059   1.0000
   3.000   0.9695   0.02170   0.01314  -0.1479   0.6755   1.0000
   4.000   1.0673   0.02359   0.01497  -0.1461   0.6476   1.0000
   5.000   1.1785   0.02498   0.01630  -0.1460   0.6242   1.0000
   6.000   1.2603   0.02784   0.01945  -0.1421   0.5967   1.0000
   7.000   1.3480   0.03049   0.02241  -0.1390   0.5709   1.0000
   8.000   1.4493   0.03221   0.02445  -0.1373   0.5446   1.0000
   9.000   1.5432   0.03320   0.02580  -0.1337   0.5102   1.0000
  10.000   1.6234   0.03216   0.02501  -0.1264   0.4596   1.0000
  11.000   1.6575   0.03282   0.02609  -0.1130   0.4094   1.0000
  12.000   1.6377   0.03646   0.03014  -0.0951   0.3494   1.0000
  13.000   1.5728   0.04769   0.04124  -0.0809   0.2490   1.0000
  14.000   1.4761   0.06819   0.06097  -0.0741   0.1515   1.0000
  15.000   1.4449   0.08299   0.07530  -0.0700   0.1027   1.0000
